Username: player1
Created @ 2020-07-09T16:39:34.710382
Password:  1234


__SIGN IN__ | @ 2020-07-09T16:39:34.876771 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T16:39:35.058349 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T16:39:36.295634 | Message: button -> Play With CPU
__BUTTON CLICK__ | @ 2020-07-09T16:39:38.459980 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-07-09T16:39:38.802857 | Message: Collections
__BUTTON CLICK__ | @ 2020-07-09T16:39:56.050198 | Message: New
__REPORT__ | @ 2020-07-09T16:39:58.215521 | Message: Deck Name: New Deck0, hero : Hunter
__BUTTON CLICK__ | @ 2020-07-09T16:39:59.759652 | Message: Set Active
__REPORT__ | @ 2020-07-09T16:39:59.760161 | Message: Deck Activated -> Deck name : New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:01.971438 | Message: Select
__BUTTON CLICK__ | @ 2020-07-09T16:40:01.971667 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-07-09T16:40:02.620142 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:02.620328 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:02.771373 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:02.771524 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:03.123655 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:03.123989 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:03.299143 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:03.299297 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:03.923641 | Message: Add to deck button -> Crazed Chemist
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:03.923911 | Message: Card Crazed Chemist added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:04.275704 | Message: Add to deck button -> Crazed Chemist
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:04.275975 | Message: Card Crazed Chemist added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:04.583627 | Message: Add to deck button -> Pyroblast
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:04.583926 | Message: Card Pyroblast added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:04.727618 | Message: Add to deck button -> Pyroblast
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:04.727959 | Message: Card Pyroblast added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:06.919649 | Message: Add to deck button -> Swamp King Dred
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:06.919981 | Message: Card Swamp King Dred added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:08.075591 | Message: Add to deck button -> Scavenger's Ingenuity
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:08.075883 | Message: Card Scavenger's Ingenuity added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:08.219495 | Message: Add to deck button -> Scavenger's Ingenuity
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:08.219779 | Message: Card Scavenger's Ingenuity added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:10.559593 | Message: Add to deck button -> AmaniWarBear
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:10.559985 | Message: Card AmaniWarBear added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:10.719623 | Message: Add to deck button -> AmaniWarBear
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:40:10.719928 | Message: Card AmaniWarBear added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T16:40:12.127174 | Message: Back
__BUTTON CLICK__ | @ 2020-07-09T16:40:12.901293 | Message: Back Button
__ROOM CHANGE__ | @ 2020-07-09T16:40:12.955997 | Message: home
