Username: player3
Created @ 2020-07-09T17:06:19.909016
Password:  12343123


__SIGN IN__ | @ 2020-07-09T17:06:20.102549 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T17:06:20.434538 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T17:06:22.749404 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-07-09T17:06:23.044800 | Message: Collections
__BUTTON CLICK__ | @ 2020-07-09T17:06:27.202219 | Message: New
__REPORT__ | @ 2020-07-09T17:06:29.532635 | Message: Deck Name: New Deck0, hero : Mage
__BUTTON CLICK__ | @ 2020-07-09T17:06:31.217136 | Message: Set Active
__REPORT__ | @ 2020-07-09T17:06:31.217535 | Message: Deck Activated -> Deck name : New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:32.805186 | Message: Select
__BUTTON CLICK__ | @ 2020-07-09T17:06:32.805529 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-07-09T17:06:35.452760 | Message: Add to deck button -> Fireball
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:35.452903 | Message: Card Fireball added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:35.657363 | Message: Add to deck button -> Fireball
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:35.657674 | Message: Card Fireball added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:36.777425 | Message: Add to deck button -> RaidLeader
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:36.777784 | Message: Card RaidLeader added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:36.937167 | Message: Add to deck button -> RaidLeader
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:36.937344 | Message: Card RaidLeader added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:38.397386 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:38.397684 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:38.733486 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:06:38.733818 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-07-09T17:06:40.013535 | Message: Add to deck button -> Sorcerer's Apprentice
